relative_path,subject,label,scenario,repetition
sub2\Near_Falls\TXI_slip_trial3.xlsx,sub2,Near_Fall,slip,3
sub2\Near_Falls\TXI_slip_trial4.xlsx,sub2,Near_Fall,slip,4
sub2\Near_Falls\TXI_slip_trial7.xlsx,sub2,Near_Fall,slip,7
sub2\Near_Falls\TXI_trip_trial1.xlsx,sub2,Near_Fall,trip,1
sub2\Near_Falls\TXI_trip_trial3.xlsx,sub2,Near_Fall,trip,3
sub2\Near_Falls\TXI_trip_trial6.xlsx,sub2,Near_Fall,trip,6
sub3\ADLs\CXR_AS_trial1.xlsx,sub3,ADL,AS,1
sub3\ADLs\CXR_AS_trial2.xlsx,sub3,ADL,AS,2
sub3\ADLs\CXR_AS_trial3.xlsx,sub3,ADL,AS,3
sub3\ADLs\CXR_DS_trial1.xlsx,sub3,ADL,DS,1
sub3\ADLs\CXR_DS_trial2.xlsx,sub3,ADL,DS,2
sub3\ADLs\CXR_DS_trial3.xlsx,sub3,ADL,DS,3
sub3\ADLs\CXR_DSL_trial1.xlsx,sub3,ADL,DSL,1
sub3\ADLs\CXR_DSL_trial2.xlsx,sub3,ADL,DSL,2
sub3\ADLs\CXR_DSL_trial3.xlsx,sub3,ADL,DSL,3
sub3\ADLs\CXR_DSS_trial1.xlsx,sub3,ADL,DSS,1
sub3\ADLs\CXR_DSS_trial2.xlsx,sub3,ADL,DSS,2
sub3\ADLs\CXR_DSS_trial3.xlsx,sub3,ADL,DSS,3
sub3\ADLs\CXR_NW_trial1.xlsx,sub3,ADL,NW,1
sub3\ADLs\CXR_NW_trial2.xlsx,sub3,ADL,NW,2
sub3\ADLs\CXR_NW_trial3.xlsx,sub3,ADL,NW,3
sub3\ADLs\CXR_POG_trial1.xlsx,sub3,ADL,POG,1
sub3\ADLs\CXR_POG_trial2.xlsx,sub3,ADL,POG,2
sub3\ADLs\CXR_POG_trial3.xlsx,sub3,ADL,POG,3
sub3\ADLs\CXR_RSS_trial1.xlsx,sub3,ADL,RSS,1
sub3\ADLs\CXR_RSS_trial2.xlsx,sub3,ADL,RSS,2
sub3\ADLs\CXR_RSS_trial3.xlsx,sub3,ADL,RSS,3
sub3\ADLs\CXR_SQ_trial1.xlsx,sub3,ADL,SQ,1
sub3\ADLs\CXR_SQ_trial2.xlsx,sub3,ADL,SQ,2
sub3\ADLs\CXR_SQ_trial3.xlsx,sub3,ADL,SQ,3
sub3\Falls\CXR_CS_trial1.xlsx,sub3,Fall,CS,1
sub3\Falls\CXR_CS_trial2.xlsx,sub3,Fall,CS,2
sub3\Falls\CXR_CS_trial4.xlsx,sub3,Fall,CS,4
sub3\Falls\CXR_HB_trial2.xlsx,sub3,Fall,HB,2
sub3\Falls\CXR_HB_trial3.xlsx,sub3,Fall,HB,3
sub3\Falls\CXR_HB_trial4.xlsx,sub3,Fall,HB,4
sub3\Falls\CXR_ITDS_trial1.xlsx,sub3,Fall,ITDS,1
sub3\Falls\CXR_ITDS_trial2.xlsx,sub3,Fall,ITDS,2
sub3\Falls\CXR_ITDS_trial3.xlsx,sub3,Fall,ITDS,3
sub3\Falls\CXR_ITRS_trial1.xlsx,sub3,Fall,ITRS,1
sub3\Falls\CXR_ITRS_trial3.xlsx,sub3,Fall,ITRS,3
sub3\Falls\CXR_ITRS_trial4.xlsx,sub3,Fall,ITRS,4
sub3\Falls\CXR_LCC_trial1.xlsx,sub3,Fall,LCC,1
sub3\Falls\CXR_LCC_trial2.xlsx,sub3,Fall,LCC,2
sub3\Falls\CXR_LCC_trial3.xlsx,sub3,Fall,LCC,3
sub3\Falls\CXR_slip_trial1.xlsx,sub3,Fall,slip,1
sub3\Falls\CXR_slip_trial2.xlsx,sub3,Fall,slip,2
sub3\Falls\CXR_slip_trial5.xlsx,sub3,Fall,slip,5
sub3\Falls\CXR_trip_trial1.xlsx,sub3,Fall,trip,1
sub3\Falls\CXR_trip_trial2.xlsx,sub3,Fall,trip,2
sub3\Falls\CXR_trip_trial5.xlsx,sub3,Fall,trip,5
sub3\Near_Falls\CXR_CS_trial3.xlsx,sub3,Near_Fall,CS,3
sub3\Near_Falls\CXR_CS_trial5.xlsx,sub3,Near_Fall,CS,5
sub3\Near_Falls\CXR_CS_trial6.xlsx,sub3,Near_Fall,CS,6
sub3\Near_Falls\CXR_HB_trial1.xlsx,sub3,Near_Fall,HB,1
sub3\Near_Falls\CXR_HB_trial5.xlsx,sub3,Near_Fall,HB,5
sub3\Near_Falls\CXR_HB_trial6.xlsx,sub3,Near_Fall,HB,6
sub3\Near_Falls\CXR_ITRS_trial2.xlsx,sub3,Near_Fall,ITRS,2
sub3\Near_Falls\CXR_ITRS_trial5.xlsx,sub3,Near_Fall,ITRS,5
sub3\Near_Falls\CXR_ITRS_trial6.xlsx,sub3,Near_Fall,ITRS,6
sub3\Near_Falls\CXR_slip_trial3.xlsx,sub3,Near_Fall,slip,3
sub3\Near_Falls\CXR_slip_trial4.xlsx,sub3,Near_Fall,slip,4
sub3\Near_Falls\CXR_slip_trial6.xlsx,sub3,Near_Fall,slip,6
sub3\Near_Falls\CXR_trip_trial3.xlsx,sub3,Near_Fall,trip,3
sub3\Near_Falls\CXR_trip_trial4.xlsx,sub3,Near_Fall,trip,4
sub3\Near_Falls\CXR_trip_trial6.xlsx,sub3,Near_Fall,trip,6
sub4\ADLs\AXJ_AS_trial1.xlsx,sub4,ADL,AS,1
sub4\ADLs\AXJ_AS_trial2.xlsx,sub4,ADL,AS,2
sub4\ADLs\AXJ_AS_trial3.xlsx,sub4,ADL,AS,3
sub4\ADLs\AXJ_DS_trial1.xlsx,sub4,ADL,DS,1
sub4\ADLs\AXJ_DS_trial2.xlsx,sub4,ADL,DS,2
sub4\ADLs\AXJ_DS_trial3.xlsx,sub4,ADL,DS,3
sub4\ADLs\AXJ_DSL_trial1.xlsx,sub4,ADL,DSL,1
sub4\ADLs\AXJ_DSL_trial2.xlsx,sub4,ADL,DSL,2
sub4\ADLs\AXJ_DSL_trial3.xlsx,sub4,ADL,DSL,3
sub4\ADLs\AXJ_DSS_trial1.xlsx,sub4,ADL,DSS,1
sub4\ADLs\AXJ_DSS_trial2.xlsx,sub4,ADL,DSS,2
sub4\ADLs\AXJ_DSS_trial4.xlsx,sub4,ADL,DSS,4
sub4\ADLs\AXJ_NW_trial1.xlsx,sub4,ADL,NW,1
sub4\ADLs\AXJ_NW_trial2.xlsx,sub4,ADL,NW,2
sub4\ADLs\AXJ_NW_trial3.xlsx,sub4,ADL,NW,3
sub4\ADLs\AXJ_POG_trial1.xlsx,sub4,ADL,POG,1
sub4\ADLs\AXJ_POG_trial2.xlsx,sub4,ADL,POG,2
sub4\ADLs\AXJ_POG_trial3.xlsx,sub4,ADL,POG,3
sub4\ADLs\AXJ_RSS_trial1.xlsx,sub4,ADL,RSS,1
sub4\ADLs\AXJ_RSS_trial2.xlsx,sub4,ADL,RSS,2
sub4\ADLs\AXJ_RSS_trial3.xlsx,sub4,ADL,RSS,3
sub4\ADLs\AXJ_SQ_trial1.xlsx,sub4,ADL,SQ,1
sub4\ADLs\AXJ_SQ_trial2.xlsx,sub4,ADL,SQ,2
sub4\ADLs\AXJ_SQ_trial3.xlsx,sub4,ADL,SQ,3
sub4\Falls\AXJ_CS_trial1.xlsx,sub4,Fall,CS,1
sub4\Falls\AXJ_CS_trial2.xlsx,sub4,Fall,CS,2
sub4\Falls\AXJ_CS_trial4.xlsx,sub4,Fall,CS,4
sub4\Falls\AXJ_HB_trial2.xlsx,sub4,Fall,HB,2
sub4\Falls\AXJ_HB_trial3.xlsx,sub4,Fall,HB,3
sub4\Falls\AXJ_HB_trial4.xlsx,sub4,Fall,HB,4
sub4\Falls\AXJ_ITDS_trial1.xlsx,sub4,Fall,ITDS,1
sub4\Falls\AXJ_ITDS_trial2.xlsx,sub4,Fall,ITDS,2
sub4\Falls\AXJ_ITDS_trial3.xlsx,sub4,Fall,ITDS,3
sub4\Falls\AXJ_ITRS_trial1.xlsx,sub4,Fall,ITRS,1
sub4\Falls\AXJ_ITRS_trial2.xlsx,sub4,Fall,ITRS,2
sub4\Falls\AXJ_ITRS_trial5.xlsx,sub4,Fall,ITRS,5
sub4\Falls\AXJ_LCC_trial1.xlsx,sub4,Fall,LCC,1
sub4\Falls\AXJ_LCC_trial2.xlsx,sub4,Fall,LCC,2
sub4\Falls\AXJ_LCC_trial3.xlsx,sub4,Fall,LCC,3
sub4\Falls\AXJ_slip_trial1.xlsx,sub4,Fall,slip,1
sub4\Falls\AXJ_slip_trial4.xlsx,sub4,Fall,slip,4
sub4\Falls\AXJ_slip_trial5.xlsx,sub4,Fall,slip,5
sub4\Falls\AXJ_trip_trial1.xlsx,sub4,Fall,trip,1
sub4\Falls\AXJ_trip_trial3.xlsx,sub4,Fall,trip,3
sub4\Falls\AXJ_trip_trial4.xlsx,sub4,Fall,trip,4
sub4\Near_Falls\AXJ_CS_trial3.xlsx,sub4,Near_Fall,CS,3
sub4\Near_Falls\AXJ_CS_trial5.xlsx,sub4,Near_Fall,CS,5
sub4\Near_Falls\AXJ_CS_trial6.xlsx,sub4,Near_Fall,CS,6
sub4\Near_Falls\AXJ_HB_trial1.xlsx,sub4,Near_Fall,HB,1
sub4\Near_Falls\AXJ_HB_trial5.xlsx,sub4,Near_Fall,HB,5
sub4\Near_Falls\AXJ_HB_trial6.xlsx,sub4,Near_Fall,HB,6
sub4\Near_Falls\AXJ_ITRS_trial3.xlsx,sub4,Near_Fall,ITRS,3
sub4\Near_Falls\AXJ_ITRS_trial4.xlsx,sub4,Near_Fall,ITRS,4
sub4\Near_Falls\AXJ_ITRS_trial6.xlsx,sub4,Near_Fall,ITRS,6
sub4\Near_Falls\AXJ_slip_trial2.xlsx,sub4,Near_Fall,slip,2
sub4\Near_Falls\AXJ_slip_trial3.xlsx,sub4,Near_Fall,slip,3
sub4\Near_Falls\AXJ_slip_trial6.xlsx,sub4,Near_Fall,slip,6
sub4\Near_Falls\AXJ_trip_trial2.xlsx,sub4,Near_Fall,trip,2
sub4\Near_Falls\AXJ_trip_trial5.xlsx,sub4,Near_Fall,trip,5
sub4\Near_Falls\AXJ_trip_trial6.xlsx,sub4,Near_Fall,trip,6
sub5\ADLs\AXJ_AS_trial1.xlsx,sub5,ADL,AS,1
sub5\ADLs\AXJ_AS_trial2.xlsx,sub5,ADL,AS,2
sub5\ADLs\AXJ_AS_trial3.xlsx,sub5,ADL,AS,3
sub5\ADLs\AXJ_DS_trial1.xlsx,sub5,ADL,DS,1
sub5\ADLs\AXJ_DS_trial2.xlsx,sub5,ADL,DS,2
sub5\ADLs\AXJ_DS_trial3.xlsx,sub5,ADL,DS,3
sub5\ADLs\AXJ_DSL_trial1.xlsx,sub5,ADL,DSL,1
sub5\ADLs\AXJ_DSL_trial2.xlsx,sub5,ADL,DSL,2
sub5\ADLs\AXJ_DSL_trial3.xlsx,sub5,ADL,DSL,3
sub5\ADLs\AXJ_DSS_trial1.xlsx,sub5,ADL,DSS,1
sub5\ADLs\AXJ_DSS_trial2.xlsx,sub5,ADL,DSS,2
sub5\ADLs\AXJ_DSS_trial3.xlsx,sub5,ADL,DSS,3
sub5\ADLs\AXJ_NW_trial1.xlsx,sub5,ADL,NW,1
sub5\ADLs\AXJ_NW_trial2.xlsx,sub5,ADL,NW,2
sub5\ADLs\AXJ_NW_trial3.xlsx,sub5,ADL,NW,3
sub5\ADLs\AXJ_POG_trial1.xlsx,sub5,ADL,POG,1
sub5\ADLs\AXJ_POG_trial2.xlsx,sub5,ADL,POG,2
sub5\ADLs\AXJ_POG_trial3.xlsx,sub5,ADL,POG,3
sub5\ADLs\AXJ_RSS_trial1.xlsx,sub5,ADL,RSS,1
sub5\ADLs\AXJ_RSS_trial2.xlsx,sub5,ADL,RSS,2
sub5\ADLs\AXJ_RSS_trial3.xlsx,sub5,ADL,RSS,3
sub5\ADLs\AXJ_SQ_trial1.xlsx,sub5,ADL,SQ,1
sub5\ADLs\AXJ_SQ_trial2.xlsx,sub5,ADL,SQ,2
sub5\ADLs\AXJ_SQ_trial3.xlsx,sub5,ADL,SQ,3
sub5\Falls\AXJ_HB_trial2.xlsx,sub5,Fall,HB,2
sub5\Falls\AXJ_HB_trial3.xlsx,sub5,Fall,HB,3
sub5\Falls\AXJ_HB_trial6.xlsx,sub5,Fall,HB,6
sub5\Falls\AXJ_ITDS_trial1.xlsx,sub5,Fall,ITDS,1
sub5\Falls\AXJ_ITDS_trial2.xlsx,sub5,Fall,ITDS,2
sub5\Falls\AXJ_ITDS_trial3.xlsx,sub5,Fall,ITDS,3
sub5\Falls\AXJ_ITRS_trial1.xlsx,sub5,Fall,ITRS,1
sub5\Falls\AXJ_ITRS_trial2.xlsx,sub5,Fall,ITRS,2
sub5\Falls\AXJ_ITRS_trial4.xlsx,sub5,Fall,ITRS,4
sub5\Falls\AXJ_LCC_trial1.xlsx,sub5,Fall,LCC,1
sub5\Falls\AXJ_LCC_trial2.xlsx,sub5,Fall,LCC,2
sub5\Falls\AXJ_LCC_trial3.xlsx,sub5,Fall,LCC,3
sub5\Falls\AXJ_trip_trial1.xlsx,sub5,Fall,trip,1
sub5\Falls\AXJ_trip_trial3.xlsx,sub5,Fall,trip,3
sub5\Falls\AXJ_trip_trial4.xlsx,sub5,Fall,trip,4
sub5\Falls\EXA_CS_trial1.xlsx,sub5,Fall,CS,1
sub5\Falls\EXA_CS_trial2.xlsx,sub5,Fall,CS,2
sub5\Falls\EXA_CS_trial4.xlsx,sub5,Fall,CS,4
sub5\Falls\EXA_slip_trial1.xlsx,sub5,Fall,slip,1
sub5\Falls\EXA_slip_trial2.xlsx,sub5,Fall,slip,2
sub5\Falls\EXA_slip_trial6.xlsx,sub5,Fall,slip,6
sub5\Near_Falls\AXJ_HB_trial1.xlsx,sub5,Near_Fall,HB,1
sub5\Near_Falls\AXJ_HB_trial4.xlsx,sub5,Near_Fall,HB,4
sub5\Near_Falls\AXJ_HB_trial5.xlsx,sub5,Near_Fall,HB,5
sub5\Near_Falls\AXJ_ITRS_trial3.xlsx,sub5,Near_Fall,ITRS,3
sub5\Near_Falls\AXJ_ITRS_trial5.xlsx,sub5,Near_Fall,ITRS,5
sub5\Near_Falls\AXJ_ITRS_trial6.xlsx,sub5,Near_Fall,ITRS,6
sub5\Near_Falls\AXJ_trip_trial2.xlsx,sub5,Near_Fall,trip,2
sub5\Near_Falls\AXJ_trip_trial5.xlsx,sub5,Near_Fall,trip,5
sub5\Near_Falls\AXJ_trip_trial6.xlsx,sub5,Near_Fall,trip,6
sub5\Near_Falls\EXA_CS_trial3.xlsx,sub5,Near_Fall,CS,3
sub5\Near_Falls\EXA_CS_trial5.xlsx,sub5,Near_Fall,CS,5
sub5\Near_Falls\EXA_CS_trial6.xlsx,sub5,Near_Fall,CS,6
sub5\Near_Falls\EXA_slip_trial3.xlsx,sub5,Near_Fall,slip,3
sub5\Near_Falls\EXA_slip_trial4.xlsx,sub5,Near_Fall,slip,4
sub5\Near_Falls\EXA_slip_trial5.xlsx,sub5,Near_Fall,slip,5
sub6\ADLs\AXM_AS_trial1.xlsx,sub6,ADL,AS,1
sub6\ADLs\AXM_AS_trial2.xlsx,sub6,ADL,AS,2
sub6\ADLs\AXM_AS_trial3.xlsx,sub6,ADL,AS,3
sub6\ADLs\AXM_DS_trial1.xlsx,sub6,ADL,DS,1
sub6\ADLs\AXM_DS_trial2.xlsx,sub6,ADL,DS,2
sub6\ADLs\AXM_DS_trial3.xlsx,sub6,ADL,DS,3
sub6\ADLs\AXM_DSL_trial1.xlsx,sub6,ADL,DSL,1
sub6\ADLs\AXM_DSL_trial2.xlsx,sub6,ADL,DSL,2
sub6\ADLs\AXM_DSL_trial3.xlsx,sub6,ADL,DSL,3
sub6\ADLs\AXM_DSS_trial1.xlsx,sub6,ADL,DSS,1
sub6\ADLs\AXM_DSS_trial2.xlsx,sub6,ADL,DSS,2
sub6\ADLs\AXM_DSS_trial3.xlsx,sub6,ADL,DSS,3
sub6\ADLs\AXM_NW_trial1.xlsx,sub6,ADL,NW,1
sub6\ADLs\AXM_NW_trial2.xlsx,sub6,ADL,NW,2
sub6\ADLs\AXM_NW_trial3.xlsx,sub6,ADL,NW,3
sub6\ADLs\AXM_POG_trial1.xlsx,sub6,ADL,POG,1
sub6\ADLs\AXM_POG_trial2.xlsx,sub6,ADL,POG,2
sub6\ADLs\AXM_POG_trial3.xlsx,sub6,ADL,POG,3
sub6\ADLs\AXM_RSS_trial1.xlsx,sub6,ADL,RSS,1
sub6\ADLs\AXM_RSS_trial2.xlsx,sub6,ADL,RSS,2
sub6\ADLs\AXM_RSS_trial3.xlsx,sub6,ADL,RSS,3
sub6\ADLs\AXM_SQ_trial1.xlsx,sub6,ADL,SQ,1
sub6\ADLs\AXM_SQ_trial2.xlsx,sub6,ADL,SQ,2
sub6\ADLs\AXM_SQ_trial3.xlsx,sub6,ADL,SQ,3
sub6\Falls\AXM_CS_trial1.xlsx,sub6,Fall,CS,1
sub6\Falls\AXM_CS_trial2.xlsx,sub6,Fall,CS,2
sub6\Falls\AXM_CS_trial4.xlsx,sub6,Fall,CS,4
sub6\Falls\AXM_HB_trial1.xlsx,sub6,Fall,HB,1
sub6\Falls\AXM_HB_trial4.xlsx,sub6,Fall,HB,4
sub6\Falls\AXM_HB_trial5.xlsx,sub6,Fall,HB,5
sub6\Falls\AXM_ITDS_trial1.xlsx,sub6,Fall,ITDS,1
sub6\Falls\AXM_ITDS_trial2.xlsx,sub6,Fall,ITDS,2
sub6\Falls\AXM_ITDS_trial3.xlsx,sub6,Fall,ITDS,3
sub6\Falls\AXM_ITRS_trial1.xlsx,sub6,Fall,ITRS,1
sub6\Falls\AXM_ITRS_trial3.xlsx,sub6,Fall,ITRS,3
sub6\Falls\AXM_ITRS_trial4.xlsx,sub6,Fall,ITRS,4
sub6\Falls\AXM_LCC_trial1.xlsx,sub6,Fall,LCC,1
sub6\Falls\AXM_LCC_trial2.xlsx,sub6,Fall,LCC,2
sub6\Falls\AXM_LCC_trial3.xlsx,sub6,Fall,LCC,3
sub6\Falls\AXM_slip_trial1.xlsx,sub6,Fall,slip,1
sub6\Falls\AXM_slip_trial2.xlsx,sub6,Fall,slip,2
sub6\Falls\AXM_slip_trial6.xlsx,sub6,Fall,slip,6
sub6\Falls\AXM_trip_trial2.xlsx,sub6,Fall,trip,2
sub6\Falls\AXM_trip_trial3.xlsx,sub6,Fall,trip,3
sub6\Falls\AXM_trip_trial4.xlsx,sub6,Fall,trip,4
sub6\Near_Falls\AXM_CS_trial3.xlsx,sub6,Near_Fall,CS,3
sub6\Near_Falls\AXM_CS_trial5.xlsx,sub6,Near_Fall,CS,5
